iteration,plc,namespace,ip,wait_physics_marker_sec,load_state_sec,write_sensors_sec,write_local_output_sec,wait_read_actuators_marker_sec,read_actuators_sec,write_actuator_output_sec,cycle_total_sec,sensor_written_count,sensor_skipped_count,actuator_count
1,PLC1,ns-plc1,192.168.1.1,3.9094462650245987,0.00033255398739129305,0.09036076196935028,0.0012276900233700871,0.34744807495735586,0.0005207819631323218,0.0011958290124312043,4.350577211007476,4,1,2
1,PLC7,ns-plc7,192.168.7.1,3.9072654329938814,0.0003512789844535291,0.09541812801035121,0.0012009519850835204,0.34272501803934574,7.038004696369171e-06,0.009718250017613173,4.356736977992114,1,0,0
1,PLC3,ns-plc3,192.168.3.1,3.8838082880247384,0.0002780419890768826,0.09694782603764907,0.0006151850102469325,0.3429541509831324,7.5070420280098915e-06,0.010729803005233407,4.335380295990035,12,0,0
1,PLC4,ns-plc4,192.168.4.1,3.8762912260135636,0.0002751729916781187,0.09606065094703808,0.0007457389729097486,0.34277999197365716,0.0005148969939909875,0.01001598802395165,4.32675221801037,2,2,3
1,PLC5,ns-plc5,192.168.5.1,3.9015146130113862,0.0003706769784912467,0.09525858395500109,0.0008707750239409506,0.34731771901715547,7.171009201556444e-06,0.009085566038265824,4.354468642966822,7,0,0
1,PLC2,ns-plc2,192.168.2.1,3.8861744300229475,0.00025120499776676297,0.09823294001398608,0.001320337993092835,0.340659614012111,0.0006140460027381778,0.011690798040945083,4.338998385006562,1,3,5
1,PLC8,ns-plc8,192.168.8.1,3.8891976889572106,0.0003014730173163116,0.09619034902425483,0.001193339005112648,0.3477950370288454,8.911010809242725e-06,0.008384117973037064,4.343141553981695,1,0,0
2,PLC9,ns-plc9,192.168.9.1,0.020696794032119215,0.0002688929671421647,0.0008421099628321826,0.0011618840508162975,0.3437085159821436,5.683978088200092e-06,0.0009282070095650852,0.36769784503849223,1,0,0
2,PLC8,ns-plc8,192.168.8.1,0.010259150003548712,0.0002494080108590424,0.0005288100219331682,0.0005976379616186023,0.3432882729684934,6.753019988536835e-06,0.0015486570191569626,0.35655729100108147,1,0,0
2,PLC5,ns-plc5,192.168.5.1,0.010383267013821751,0.00029517599614337087,0.0007679020054638386,0.00122035201638937,0.3436416970216669,6.116053555160761e-06,0.0009437130065634847,0.3573308810009621,7,0,0
2,PLC3,ns-plc3,192.168.3.1,0.010250849009025842,0.0002985660103149712,0.0005871800240129232,0.0008462339756079018,0.348113218031358,6.610993295907974e-06,0.002506999997422099,0.3626702909823507,12,0,0
2,PLC1,ns-plc1,192.168.1.1,0.020727208990138024,0.0002493700012564659,0.000491167011205107,0.00088760897051543,0.3481349460198544,0.00041503197280690074,0.002527120988816023,0.37350787298055366,4,1,2
2,PLC4,ns-plc4,192.168.4.1,0.010563508025370538,0.0003498049918562174,0.0004172520129941404,0.0006983919884078205,0.3436239849543199,0.0005326240207068622,0.006145393999759108,0.3624038139823824,2,2,3
2,PLC7,ns-plc7,192.168.7.1,0.010329829005058855,0.00029407197143882513,0.00043074204586446285,0.0005676639848388731,0.3458234420395456,8.460949175059795e-06,0.005323216028045863,0.36284777300897986,1,0,0
2,PLC2,ns-plc2,192.168.2.1,0.01025906199356541,0.00028856605058535933,0.00036751601146534085,0.0006509880186058581,0.3480337739456445,0.0005268099484965205,0.00228635297389701,0.3624843170400709,1,3,5
3,PLC9,ns-plc9,192.168.9.1,0.015821231994777918,0.00028426694916561246,0.0006946389912627637,0.0012221899814903736,0.34340888902079314,2.8727983590215445e-05,0.001184034044854343,0.36272638401715085,1,0,0
